ENGLISH,TAMIL
problem,பிரச்சனை
procedure,செயல்முறை
proceed,தொடர
process,செயல்முறை
produce,விளைபொருட்களை
producer,தயாரிப்பாளர்
product,தயாரிப்பு
production,தயாரிப்பு
profession,தொழிலை
professional,தொழில்முறை
professor,பேராசிரியர்
profile,சுயவிவர
profit,இலாப
program,திட்டம்
progress,முன்னேற்றம்
project,திட்டம்
prominent,முக்கிய
promise,வாக்குறுதி
promote,ஊக்குவிக்க
prompt,உடனடியாக
proof,ஆதாரம்
proper,சரியான
properly,ஒழுங்காக
property,சொத்து
proportion,விகிதம்
proposal,திட்டம்
propose,முன்மொழிய
proposed,முன்மொழியப்பட்ட
prosecutor,வழக்கறிஞர்
prospect,வாய்ப்பு
protect,பாதுகாக்க
protection,பாதுகாப்பு
protein,புரத
protest,எதிர்ப்பு
proud,பெருமை
prove,நிரூபிக்க
provide,வழங்கும்
provider,வழங்குநர்
province,மாகாணத்தில்
provision,ஏற்பாடு
psychological,உளவியல்
psychologist,உளவியலாளர்
psychology,உளவியல்
public,பொது
publication,வெளியீடு
publicly,பகிரங்கமாக
publish,வெளியிட
publisher,பதிப்பகத்தார்
pull,மிகுதி
punishment,தண்டனை
purchase,கொள்முதல்
pure,தூய
purpose,நோக்கம்
pursue,தொடர
push,மிகுதி
put,வைத்து
qualify,தகுதி
quality,தரமான
quarter,காலாண்டில்
quarterback,குவாட்டர்பேக்
question,கேள்வி
quick,விரைவான
quickly,விரைவில்
quiet,அமைதியான
quietly,அமைதியாக
quit,விட்டுவிட
quite,மிகவும்
quote,மேற்கோள்
race,இனம்
racial,இன
radical,தீவிரவாத
radio,வானொலி
rail,ரயில்
rain,மழை
raise,உயர்வு
range,சரகம்
rank,ரேங்க்
rapid,விரைவான
rapidly,விரைவில்
rare,அரிய
rarely,அரிதாக
rate,விகிதம்
rather,மாறாக
rating,மதிப்பீடு
ratio,விகிதம்
raw,மூல
reach,அடைய
react,வினை
reaction,எதிர்வினை
read,படி
reader,வாசகர்
reading,வாசிப்பு
ready,தயாராக
real,உண்மையான
reality,உண்மையில்
realize,நினைத்துக்கூட பார்க்காத
really,உண்மையில்
reason,காரணம்
reasonable,நியாயமான
recall,நினைவுகூர்வது
receive,பெறும்
recent,அண்மையில்
recently,சமீபத்தில்
recipe,செய்முறையை
recognition,அங்கீகாரம்
recognize,அடையாளம் கண்டு கொள்
recommend,பரிந்துரை
recommendation,பரிந்துரை
record,சாதனை
recording,பதிவு
recover,மீட்க
recovery,மீட்பு
recruit,பணியமர்த்த
red,சிவப்பு
reduce,குறைக்க
reduction,குறைப்பு
refer,பார்க்கவும்
reference,குறிப்பு
reflect,பிரதிபலிக்கும்
reflection,பிரதிபலிப்பு
reform,சீர்திருத்தம்
refugee,அகதி
refuse,மறு
regard,தொடர்பாக
regarding,தொடர்பாக
regardless,பொருட்படுத்தாமல்
regime,ஆட்சி
region,பிராந்தியம்
regional,பிராந்திய
register,பதிவு
regular,வழக்கமான
regularly,வழக்கமாக
regulate,கட்டுப்படுத்தும்
regulation,கட்டுப்பாட்டு
reinforce,வலுப்படுத்தும்
reject,நிராகரிக்க
relate,தொடர்புபடுத்த
relation,உறவு
relationship,உறவு
relative,உறவினர்
relatively,ஒப்பீட்டளவில்
relax,ஓய்வெடுக்க
release,வெளியீடு
relevant,தொடர்புடைய
relief,துயர் நீக்கம்
religion,மதம்
religious,மத
rely,நம்ப
remain,இருக்கும்
remaining,மீதமுள்ள
remarkable,குறிப்பிடத்தக்க
remember,நினைவில்
remind,ஞாபகப்படுத்த
remote,தொலை
remove,அகற்றுவதில்
repeat,மீண்டும்
repeatedly,மீண்டும் மீண்டும்
replace,பதிலாக
reply,பதில்
report,அறிக்கை
reporter,நிருபர்
represent,பிரதிநிதித்துவம்
representation,பிரதிநிதித்துவம்
representative,பிரதிநிதி
Republican,குடியரசுக்
reputation,புகழ்
request,கோரிக்கை
require,தேவைப்படும்
requirement,தேவை
research,ஆராய்ச்சி
researcher,ஆராய்ச்சியாளர்
resemble,ஒத்திருக்கின்றன
reservation,ஒதுக்கீடு
resident,குடியுரிமை
resist,எதிர்க்க
resistance,எதிர்ப்பு
resolution,தீர்மானம்
resolve,தீர்மானத்தை
resort,உல்லாசப்போக்கிடம்
resource,வள
respect,மதிக்க
respond,பதிலை
respondent,பதிலளிப்பாளரின்
response,பதில்
responsibility,பொறுப்பு
responsible,பொறுப்பு
rest,ஓய்வெடுக்க
restaurant,உணவகம்
restore,மீட்க
restriction,கட்டுப்பாடு
result,விளைவாக
retain,தக்கவைத்து
retire,ஓய்வு
retirement,ஓய்வு
return,திரும்ப
reveal,வெளிப்படுத்த
revenue,வருவாய்
review,விமர்சனம்
revolution,புரட்சி
rhythm,ரிதம்
rice,அரிசி
rich,பணக்கார
rid,தவிர்ந்திடு
ride,சவாரி
rifle,துப்பாக்கி
right,வலது
ring,மோதிரம்
rise,உயரும்
risk,ஆபத்து
river,நதி
road,சாலை
rock,பாறை
role,பங்கு
roll,ரோல்
romantic,காதல்
roof,கூரை
room,அறை
root,ரூட்
rope,கயிறு
rose,உயர்ந்தது
rough,கடினமான
roughly,சுமார்
round,சுற்று
route,பாதை
routine,வழக்கமான
row,வரிசையில்
rub,துடைப்பான்
rule,ஆட்சி
run,ஓடு
running,ஓடுதல்
rural,கிராமப்புற
rush,அவசரத்தில்
Russian,ரஷியன்
sacred,புனித
sad,வருத்தமாக
safe,பாதுகாப்பான
safety,பாதுகாப்பு
sake,நிமித்தம்
salad,கலவை
salary,சம்பளம்
sale,விற்பனை
sales,விற்பனை
salt,உப்பு
same,அதே
sample,மாதிரி
sanction,அனுமதி
sand,மணல்
satellite,செயற்கைக்கோள்
satisfaction,திருப்தி
satisfy,திருப்தி
sauce,சாஸ்
save,சேமிக்க
saving,சேமிப்பு
say,சொல்
scale,அளவில்
scandal,ஊழல்
scared,பயந்திருந்தாலோ
scenario,சூழ்நிலையில்
scene,காட்சி
schedule,அட்டவணை
scheme,திட்டம்
scholar,அறிஞர்
scholarship,உதவித்தொகை
school,பள்ளி
science,விஞ்ஞானம்
scientific,அறிவியல்
scientist,விஞ்ஞானி
scope,வாய்ப்பு
score,மதிப்பெண்
scream,அலறல்
screen,திரை
script,கையால் எழுதப்பட்ட தாள்
sea,கடல்
search,தேட
season,பருவம்
seat,இருக்கை
second,இரண்டாவது
secret,இரகசிய
secretary,செயலாளர்
section,பிரிவில்
sector,துறை
secure,பாதுகாக்க
security,பாதுகாப்பு
see,பார்க்க
seed,விதை
seek,தேடுங்கள்
seem,தெரியவில்லை
segment,பிரிவில்
seize,பறிமுதல்
select,தேர்வு
selection,தேர்வு
self,சுய
sell,விற்க
Senate,செனட்
senator,செனட்டர்
send,அனுப்புக
senior,மூத்த
sense,உணர்வு
sensitive,முக்கிய
sentence,தண்டனை
separate,தனி
sequence,வரிசை
series,தொடர்
serious,தீவிர
seriously,தீவிரமாக
serve,பணியாற்ற
service,சேவை
session,அமர்வு
set,தொகுப்பு
setting,அமைப்பை
settle,செட்டில்
settlement,தீர்வு
seven,ஏழு
several,பல
severe,கடுமையான
sex,செக்ஸ்
sexual,பாலியல்
shade,நிழல்
shadow,நிழல்
shake,குலுக்கல்
shall,பேசலாம்
shape,வடிவம்
share,பகிர்
sharp,கூர்மையான
she,அவள்
sheet,தாள்
shelf,அலமாரியில்
shell,ஷெல்
shelter,தங்குமிடம்
shift,மாற்றம்
shine,பிரகாசம்
ship,கப்பல்
shirt,சட்டை
shit,மலம்
shock,அதிர்ச்சி
shoe,ஷூ
shoot,படப்பிடிப்பு
shooting,படப்பிடிப்பு
shop,கடை
shopping,கடையில் பொருட்கள் வாங்குதல்
shore,கரையில்
short,குறுகிய
shortly,விரைவில்
shot,ஷாட்
should,வேண்டுமா
shoulder,தோள்பட்டை
shout,சத்தம்
show,நிகழ்ச்சி
shower,மழை
shrug,மொத்தத்தில் அலட்சியமாக
shut,நிறுத்தல்களுக்குப்
sick,உடம்பு
side,பக்க
sigh,பெருமூச்சு
sight,பார்வை
sign,அடையாளம்
signal,சிக்னல்
significance,முக்கியத்துவம்
significant,குறிப்பிடத்தக்க
significantly,கணிசமாக
silence,அமைதி
silent,அமைதியாக
silver,வெள்ளி
similar,ஒத்த
similarly,இதேபோல்
simple,எளிய
simply,வெறுமனே
sin,பாவம்
since,முதல்
sing,பாட
singer,பாடகர்
single,ஒற்றை
sink,தொட்டியின்
sir,ஐயா
sister,சகோதரி
sit,உட்கார
site,தளத்தில்
situation,நிலைமை
six,ஆறு
size,அளவு
ski,ஸ்கை
skill,திறமை
skin,தோல்
sky,வானம்
slave,அடிமை
sleep,தூங்கு
slice,துண்டு
slide,ஸ்லைடு
slight,லேசான
slightly,சற்று
slip,சீட்டு
slow,மெதுவாக
slowly,மெதுவாக
small,சிறிய
smart,புத்திசாலி
smell,வாசனை
smile,சிரிக்க
smoke,புகை
smooth,மென்மையான
snap,நொடியில்
snow,பனி
so,அதனால்
so-called,என்று அழைக்கப்படும்
soccer,கால்பந்து
social,சமூக
society,சமூகம்
soft,மென்மையான
software,மென்பொருள்
soil,மண்
solar,சூரிய
soldier,சிப்பாய்
solid,திட
solution,தீர்வு
solve,தீர்க்க
some,சில
somebody,யாரோ
somehow,எப்படியோ
someone,யாரோ
something,ஏதாவது
sometimes,சில நேரங்களில்
somewhat,சற்றே
somewhere,எங்காவது
son,மகன்
song,பாடல்
soon,விரைவில்
sophisticated,அதிநவீன
sorry,மன்னிக்கவும்
sort,வகைபடுத்து
soul,ஆன்மா
sound,ஒலி
soup,சூப்
source,மூல
south,தெற்கு
southern,தெற்கு
Soviet,சோவியத்
space,விண்வெளி
Spanish,ஸ்பானிஷ்
speak,பேசு
speaker,பேச்சாளர்
special,சிறப்பு
specialist,சிறப்பு
species,இனங்கள்
specific,குறிப்பிட்ட
specifically,குறிப்பாக
speech,பேச்சு
speed,வேகம்
spend,செலவிட
spending,செலவு
spin,ஸ்பின்
spirit,ஆவி
spiritual,ஆன்மீக
split,பிளவு
spokesman,பேச்சாளர்
sport,விளையாட்டு
spot,ஸ்பாட்
spread,பரவுதல்
spring,வசந்த
square,சதுர
squeeze,நெருக்கு
stability,ஸ்திரத்தன்மை
stable,நிலையான
staff,ஊழியர்கள்
stage,மேடை
stair,படிக்கட்டு
stake,பங்குகளை
stand,நிற்க
standard,தரநிலை
standing,நின்று
star,நட்சத்திரம்
stare,முறைத்தல்
start,தொடக்கத்தில்
state,நிலை
statement,அறிக்கை
station,நிலையம்
statistics,புள்ளிவிவரங்கள்
status,நிலையை
stay,தங்க
steady,நிலையான
steal,திருட
steel,எஃகு
step,படி
stick,குச்சி
still,இன்னும்
stir,பரபரப்பை
stock,பங்கு
stomach,வயிறு
stone,கல்
stop,நிறுத்தத்தில்
storage,சேமிப்பு
store,கடை
storm,புயல்
story,கதை
straight,நேராக
strange,விசித்திரமான
stranger,அந்நியன்
strategic,மூலோபாய
strategy,மூலோபாயம்
stream,ஸ்ட்ரீம்
street,தெரு
strength,வலிமை
strengthen,வலுப்படுத்த
stress,மன அழுத்தம்
stretch,நீட்டிக்க
strike,வேலைநிறுத்தம்
string,லேசான கயிறு
strip,ஆடை அவிழ்ப்பு
stroke,பக்கவாதம்
strong,வலுவான
strongly,கடுமையாக
structure,அமைப்பு
struggle,போராட்டம்
student,மாணவர்
studio,ஸ்டூடியோ
study,ஆய்வு
stuff,பொருட்களை
stupid,முட்டாள்
style,பாணி
subject,பொருள்
submit,சமர்ப்பிக்க
subsequent,அடுத்தடுத்த
substance,பொருள்
substantial,கணிசமான
succeed,வெற்றி
success,வெற்றி
successful,வெற்றிகரமான
successfully,வெற்றிகரமாக
such,அத்தகைய
sudden,திடீர்
suddenly,திடீரென்று
sue,சூ
suffer,பாதிப்பு
sufficient,போதுமான
sugar,சர்க்கரை
suggest,பரிந்துரை
suggestion,பரிந்துரை
suicide,தற்கொலை
suit,வழக்கு
summer,கோடை
summit,உச்சிமாநாடு
sun,சூரியன்
super,அருமை
supply,விநியோகி
support,ஆதரவு
supporter,ஆதரவாளர்
suppose,நினைக்கிறேன்
supposed,வேண்டும்
Supreme,உச்ச
sure,நிச்சயம்
surely,நிச்சயமாக
surface,மேற்பரப்பில்
surgery,அறுவை சிகிச்சை
surprise,ஆச்சரியம்
surprised,வியப்பு
surprising,ஆச்சரியம்
surprisingly,வியக்கத்தக்க
surround,சரவுண்ட்
survey,கணக்கெடுப்பு
survival,உயிர்
survive,வாழ
survivor,உயிர் பிழைத்தவர்
suspect,சந்தேக
sustain,தக்க
swear,சத்தியம்
sweep,ஸ்வீப்
sweet,இனிப்பு
swim,நீந்து
swing,ஊஞ்சலில்
switch,சொடுக்கி
symbol,சின்னமாக
symptom,அறிகுறி
system,அமைப்பு
table,மேசை
tablespoon,தேக்கரண்டி
tactic,உத்தி
tail,வால்
take,எடுத்து
tale,கதை
talent,திறமை
talk,பேச்சு
tall,உயரமான
tank,தொட்டி
tap,குழாய்
tape,நாடா
target,இலக்கு
task,பணி
taste,சுவை
tax,வரி
taxpayer,வரிசெலுத்துவோர்
tea,தேநீர்
teach,பழக்கினார்
teacher,ஆசிரியர்
teaching,கற்பித்தல்
team,அணி
tear,கண்ணீர்
teaspoon,தேக்கரண்டி
technical,தொழில்நுட்ப
technique,நுட்பம்
technology,தொழில்நுட்பம்
teen,டீன்
teenager,இளம்பெண்
telephone,தொலைபேசி
telescope,தொலைநோக்கி
television,தொலைக்காட்சி
tell,சொல்ல
temperature,வெப்ப நிலை
temporary,தற்காலிக
ten,பத்து
tend,முனைகின்றன
tendency,போக்கு
tennis,டென்னிஸ்
tension,பதற்றம்
tent,கூடாரம்
term,கால
terms,விதிமுறை
terrible,பயங்கரமான
territory,பிரதேசத்தில்
terror,பயங்கரவாத
terrorism,பயங்கரவாதம்
terrorist,பயங்கரவாத
test,சோதனை
testify,சாட்சி
testimony,சாட்சியம்
testing,சோதனை
text,உரை
than,விட
thank,நன்றி
thanks,நன்றி
that,அந்த
the,தி
theater,திரையரங்கம்
their,அவர்களது
them,அவர்களுக்கு
theme,தீம்
themselves,தங்களை
then,பிறகு
theory,கோட்பாடு
therapy,சிகிச்சை
there,அங்கு
therefore,எனவே
these,இந்த
they,அவர்கள்
thick,தடித்த
thin,மெல்லிய
thing,விஷயம்
think,நினைக்கிறேன்
thinking,சிந்தனை
third,மூன்றாவது
thirty,முப்பது
this,இந்த
those,அந்த
though,என்றாலும்
thought,சிந்தனை
thousand,ஆயிரம்
threat,அச்சுறுத்தல்
threaten,அச்சுறுத்தும்
three,மூன்று
throat,தொண்டை
through,மூலம்
throughout,முழுவதும்
throw,வீசு
thus,இதனால்
ticket,டிக்கெட்
tie,கட்டு
tight,இறுக்கம்
time,நேரம்
tiny,சிறிய
tip,முனை
tire,சக்கரம்
tired,சோர்வாக
tissue,திசு
title,தலைப்பு
to,க்கு
tobacco,புகையிலை
today,இன்று
toe,கால்
together,ஒன்றாக
tomato,தக்காளி
tomorrow,நாளை
tone,தொனி
tongue,நாக்கு
tonight,இன்றிரவு
too,கூட
tool,கருவி
tooth,பல்
top,மேல்
topic,தலைப்பு
toss,டாஸில்
total,மொத்தம்
totally,முற்றிலும்
touch,தொடுதல்
tough,கடுமையான
tour,சுற்றுப்பயணம்
tourist,சுற்றுலா
tournament,போட்டியில்
toward,நோக்கி
towards,நோக்கி
tower,கோபுரம்
town,நகரம்
toy,பொம்மை
trace,சுவடு
track,கண்காணிக்க
trade,வர்த்தக
tradition,பாரம்பரியம்
traditional,பாரம்பரிய
traffic,போக்குவரத்து
tragedy,சோகம்
trail,பாதை
train,தொடர்வண்டி
training,பயிற்சி
transfer,பரிமாற்ற
transform,மாற்றும்
transformation,மாற்றம்
transition,மாற்றம்
translate,மொழிபெயர்
transportation,போக்குவரத்து
travel,பயணம்
treat,உபசரிப்பு
treatment,சிகிச்சை
treaty,ஒப்பந்தம்
tree,மரம்
tremendous,மிகப்பெரிய
trend,போக்கு
trial,விசாரணை
tribe,பழங்குடி
trick,தந்திரம்
trip,பயணம்
troop,படை
trouble,பிரச்சனையில்
truck,டிரக்
TRUE,உண்மை
truly,உண்மையிலேயே
trust,நம்பிக்கை
truth,உண்மை
try,முயற்சி
tube,குழாய்
tunnel,சுரங்கப்பாதை
turn,திரும்ப
TV,டிவி
twelve,பன்னிரண்டு
twenty,இருபது
twice,இருமுறை
twin,இரட்டை
two,இரண்டு
type,வகை
typical,வழக்கமான
typically,பொதுவாக
ugly,அசிங்கமான
ultimate,இறுதி
ultimately,இறுதியில்
unable,முடியவில்லை
uncle,மாமா
under,கீழ்
undergo,மேற்கொள்ளவும்
understand,புரிந்து
understanding,புரிதல்
unfortunately,எதிர்பாராதவிதமாக
uniform,சீருடை
union,தொழிற்சங்க
unique,தனித்துவமான
unit,அலகு
United,ஐக்கிய
universal,உலகளாவிய
universe,பிரபஞ்சம்
university,பல்கலைக்கழக
unknown,தெரியாத
unless,வரை
unlike,போலல்லாமல்
unlikely,சாத்தியம்
until,வரை
unusual,அசாதாரண
up,வரை
upon,மீது
upper,மேல்
urban,நகர்ப்புற
urge,உணர்ச்சியின்
us,எங்களுக்கு
use,பயன்படுத்த
used,பயன்படுத்தப்படும்
useful,பயனுள்ள
user,பயனர்
usual,வழக்கமான
usually,வழக்கமாக
utility,பயன்பாடு
vacation,விடுமுறைக்கு
valley,பள்ளத்தாக்கு
valuable,மதிப்புமிக்க
value,மதிப்பு
variable,மாறி
variation,மாறுபாடு
variety,பல்வேறு
various,பல்வேறு
vary,மாறுபடும்
vast,பரந்த
vegetable,காய்கறி
vehicle,வாகன
venture,துணிகர
version,பதிப்பு
versus,எதிராக
very,மிகவும்
vessel,கப்பல்
veteran,முதுபெரும்
via,வழியாக
victim,பாதிக்கப்பட்ட
victory,வெற்றி
video,வீடியோ
view,பார்வை
viewer,பார்வையாளர்
village,கிராமம்
violate,மீறும்
violation,மீறல்
violence,வன்முறை
violent,வன்முறை
virtually,கிட்டத்தட்ட
virtue,நல்லொழுக்கம்
virus,வைரஸ்
visible,புலப்படும்
vision,பார்வை
visit,விஜயம்
visitor,பார்வையாளர்
visual,காட்சி
vital,முக்கிய
voice,குரல்
volume,தொகுதி
volunteer,தன்னார்வ
vote,வாக்கு
voter,வாக்காளர்
vs,எதிராக
vulnerable,பாதிக்கப்படக்கூடிய
wage,ஊதிய
wait,காத்திரு
wake,அடுத்து
walk,நட
wall,சுவர்
wander,அலையவிடுவேன்
want,வேண்டும்
war,போர்
warm,சூடான
warn,எச்சரிக்க
warning,எச்சரிக்கை
wash,கழுவுதல்
waste,வீணடிக்க
watch,வாட்ச்
water,தண்ணீர்
wave,அலை
way,வழி
we,நாங்கள்
weak,பலவீனமான
wealth,செல்வம்
wealthy,பணக்கார
weapon,ஆயுதம்
wear,உடைகள்
weather,வானிலை
wedding,திருமண
week,வாரம்
weekend,வார
weekly,வாராந்திர
weigh,எடையை
weight,எடை
welcome,வரவேற்பு
welfare,பொதுநல
well,நன்கு
west,மேற்கு
western,மேற்கு
wet,ஈரமான
what,என்ன
whatever,எதுவாக
wheel,சக்கர
when,எப்பொழுது
whenever,போதெல்லாம்
where,எங்கே
whereas,அதேசமயம்
whether,என்பதை
which,எந்த
while,போது
whisper,இரகசியம் பேசு
white,வெள்ளை
who,who
whole,முழு
whom,யாரை
whose,யாருடைய
why,ஏன்
wide,பரந்த
widely,பரவலாக
widespread,பரவலாக
wife,மனைவி
wild,காட்டு
will,விருப்பம்
willing,தயாராக
win,வெற்றி
wind,காற்று
window,ஜன்னல்
wine,மது
wing,சாரி
winner,வெற்றி
winter,குளிர்காலத்தில்
wipe,துடைக்க
wire,கம்பி
wisdom,ஞானம்
wise,பாண்டித்தியம்
wish,விரும்பும்
with,உடன்
withdraw,திரும்ப
within,உள்ள
without,இல்லாமல்
witness,சாட்சி
woman,பெண்
wonder,அதிசயம்
wonderful,அற்புதமான
wood,மரம்
wooden,மர
word,சொல்
work,வேலை
worker,தொழிலாளி
working,தொழிலாளர்
works,படைப்புகள்
workshop,பணிமனை
world,உலகம்
worried,கவலை
worry,கவலை
worth,மதிப்பு
would,வேண்டுமே
wound,காயம்
wrap,மடக்கு
write,எழுத
writer,எழுத்தாளர்
writing,எழுத்து
wrong,தவறு
yard,முற்றத்தில்
yeah,ஆம்
year,ஆண்டு
yell,கத்து
yellow,மஞ்சள்
yes,ஆம்
yesterday,நேற்று
yet,இன்னும்
yield,மகசூல்
you,நீங்கள்
young,இளம்
your,உங்கள்
yours,உன்னுடையது
yourself,உங்களை
youth,இளைஞர்கள்
zone,மண்டலம்
Collateral damage,இணை சேதம்
Supposedly,கூறப்படும்
Purposefully,வேண்டுமென்றே
Dilemma,தடுமாற்றமும்
Skeptical,சந்தேகம்
Contemplating,சிந்தனை
termitarium,கறையான் புற்று
dwarfism,குள்ளத்தன்மை
English,ஆங்கிலம்
part,பகுதியாக
history,வரலாறு
search,தேட
only,மட்டுமே
police,காவல்
thought,சிந்தனை
help,உதவி
request,கோரிக்கை
kind,கருணை
month,மாதம்
brother,சகோதரன்
let,நாம்
because,ஏனெனில்
to put,வைக்க
no,இல்லை
leash,தோல்வார்
them,அவர்களுக்கு
city,நகரம்
each,ஒவ்வொரு
speak,பேசு
come,வந்து
should,வேண்டுமா
baby,குழந்தை
long time,நீண்ட நேரம்
hours,மணி
will,விருப்பம்
while,போது
meet again,சந்திக்க மீண்டும்
any,எந்த
square,சதுர
speak,பேசு
understood,புரிந்து
knew,தெரியும்
were,இருந்தன
Warning,எச்சரிக்கை
here is,இங்கே உள்ளது
could,முடிந்த
case,வழக்கு
give,கொடுக்க
type,வகை
their,அவர்களது
given,கொடுக்கப்பட்ட
train,தொடர்வண்டி
body,உடல்
place,இடத்தில்
eyes,கண்கள்
way,வழி
listen,கேட்க
whose,யாருடைய
find,கண்டுபிடிக்க
first,முதல்
lost,இழந்தது
hand,கை
first,முதல்
side,பக்க
power,சக்தி
old,பழைய
be,இரு
here,இங்கே
morning,காலை
so much,மிகவும்
child,குழந்தை
point,புள்ளி
came,வந்தது
after,பிறகு
sorry,மன்னிக்கவும்
come,வந்து
in front of,முன்
towards,நோக்கி
minutes,நிமிடங்கள்
request,கோரிக்கை
bedroom,படுக்கையறை
placed,வைக்கப்படும்
beautiful,அழகு
law,சட்டம்
would like to,விரும்புகிறேன்
today,இன்று
husband,கணவர்
cause,காரணம்
finally,இறுதியாக
hope,நம்பிக்கை
water,தண்ணீர்
Wait,காத்திரு
left,இடது
new,புதிய
job,வேலை
Stop,நிறுத்து
would say,கூறுவேன்
Earth,பூமியின்
account,கணக்கு
given,கொடுக்கப்பட்ட
far,இதுவரை
end,இறுதியில்
believe,நம்பிக்கை
sweetheart,காதலி
large,பெரிய
rather,மாறாக
will have,வேண்டும்
girls,பெண்கள்
to play,விளையாட
office,அலுவலகம்